temp_key,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o
30869,0.027,0.0,0.0,0.0,0.0
30870,0.027,0.0,0.0,0.0,0.0
30871,0.027,0.0,0.0,0.0,0.0
30872,0.027,0.0,0.0,0.0,0.0
30873,0.026,0.0,0.0,0.0,0.0
30874,0.026,0.0,0.0,0.0,0.0
30875,0.026,0.0,0.0,0.0,0.0
30876,0.026,0.0,0.0,0.0,0.0
30877,0.026,0.0,0.0,0.0,0.0
30878,0.026,0.0,0.0,0.0,0.0
30879,0.026,0.0,0.0,0.0,0.0
30880,0.026,0.0,0.0,0.0,0.0
30881,0.026,0.0,0.0,0.0,0.0
30882,0.026,0.0,0.0,0.0,0.0
30883,0.026,0.0,0.0,0.0,0.0
30884,0.026,0.0,0.0,0.0,0.0
30885,0.026,0.0,0.0,0.0,0.0
30886,0.027,0.0,0.0,0.0,0.0
30887,0.027,0.0,0.0,0.0,0.0
30888,0.027,0.0,0.0,0.0,0.0
30889,0.027,0.0,0.0,0.0,0.0
30890,0.027,0.0,0.0,0.0,0.0
30891,0.027,0.0,0.0,0.0,0.0
30892,0.027,0.0,0.0,0.0,0.0
30893,0.027,0.0,0.0,0.0,0.0
30894,0.028,0.0,0.0,0.0,0.0
30895,0.028,0.0,0.0,0.0,0.0
30896,0.028,0.0,0.0,0.0,0.0
30897,0.029,0.0,0.0,0.0,0.0
30898,0.029,0.0,0.0,0.0,0.0
30899,0.029,0.0,0.0,0.0,0.0
30900,0.029,0.0,0.0,0.0,0.0
30901,0.03,0.0,0.0,0.0,0.0
30902,0.03,0.0,0.0,0.0,0.0
30903,0.03,0.0,0.0,0.0,0.0
30904,0.03,0.0,0.0,0.0,0.0
30905,0.03,0.0,0.0,0.0,0.0
30906,0.03,0.0,0.0,0.0,0.0
30907,0.03,0.0,0.0,0.0,0.0
30908,0.031,0.0,0.0,0.0,0.0
30909,0.031,0.0,0.0,0.0,0.0
30910,0.031,0.0,0.0,0.0,0.0
30911,0.031,0.0,0.0,0.0,0.0
30912,0.031,0.0,0.0,0.0,0.0
30913,0.031,0.0,0.0,0.0,0.0
30914,0.032,0.0,0.0,0.0,0.0
30915,0.032,0.0,0.0,0.0,0.0
30916,0.032,0.0,0.0,0.0,0.0
30917,0.032,0.0,0.0,0.0,0.0
30918,0.032,0.0,0.0,0.0,0.0
30919,0.033,0.0,0.0,0.0,0.0
30920,0.033,0.0,0.0,0.0,0.0
30921,0.033,0.0,0.0,0.0,0.0
30922,0.034,0.0,0.0,0.0,0.0
30923,0.034,0.0,0.0,0.0,0.0
30924,0.034,0.0,0.0,0.0,0.0
30925,0.034,0.0,0.0,0.0,0.0
30926,0.035,0.0,0.0,0.0,0.0
30927,0.035,0.0,0.0,0.0,0.0
30928,0.035,0.0,0.0,0.0,0.0
30929,0.035,0.0,0.0,0.0,0.0
30930,0.034,0.0,0.0,0.0,0.0
30931,0.034,0.0,0.0,0.0,0.0
30932,0.034,0.0,0.0,0.0,0.0
30933,0.033,0.0,0.0,0.0,0.0
30934,0.033,0.0,0.0,0.0,0.0
30935,0.033,0.0,0.0,0.0,0.0
30936,0.032,0.0,0.0,0.0,0.0
30937,0.032,0.0,0.0,0.0,0.0
30938,0.031,0.0,0.0,0.0,0.0
30939,0.031,0.0,0.0,0.0,0.0
30940,0.031,0.0,0.0,0.0,0.0
30941,0.03,0.0,0.0,0.0,0.0
30942,0.03,0.0,0.0,0.0,0.0
30943,0.029,0.0,0.0,0.0,0.0
30944,0.029,0.0,0.0,0.0,0.0
30945,0.028,0.0,0.0,0.0,0.0
30946,0.028,0.0,0.0,0.0,0.0
30947,0.027,0.0,0.0,0.0,0.0
30948,0.027,0.0,0.0,0.0,0.0
30949,0.027,0.0,0.0,0.0,0.0
30950,0.026,0.0,0.0,0.0,0.0
30951,0.026,0.0,0.0,0.0,0.0
30952,0.026,0.0,0.0,0.0,0.0
30953,0.026,0.0,0.0,0.0,0.0
30954,0.025,0.0,0.0,0.0,0.0
30955,0.025,0.0,0.0,0.0,0.0
30956,0.025,0.0,0.0,0.0,0.0
30957,0.024,0.0,0.0,0.0,0.0
30958,0.024,0.0,0.0,0.0,0.0
30959,0.024,0.0,0.0,0.0,0.0
30961,0.064,0.0,0.0,0.0,0.0
30962,0.063,0.0,0.0,0.0,0.0
30963,0.062,0.0,0.0,0.0,0.0
30964,0.062,0.0,0.0,0.0,0.0
30965,0.061,0.0,0.0,0.0,0.0
30966,0.061,0.0,0.0,0.0,0.0
30967,0.06,0.0,0.0,0.0,0.0
30968,0.06,0.0,0.0,0.0,0.0
30969,0.059,0.0,0.0,0.0,0.0
30970,0.059,0.0,0.0,0.0,0.0
30971,0.059,0.0,0.0,0.0,0.0
30972,0.059,0.0,0.0,0.0,0.0
30973,0.059,0.0,0.0,0.0,0.0
30974,0.059,0.0,0.0,0.0,0.0
30975,0.059,0.0,0.0,0.0,0.0
30976,0.059,0.0,0.0,0.0,0.0
30977,0.059,0.0,0.0,0.0,0.0
30978,0.059,0.0,0.0,0.0,0.0
30979,0.058,0.0,0.0,0.0,0.0
30980,0.058,0.0,0.0,0.0,0.0
30981,0.058,0.0,0.0,0.0,0.0
30982,0.057,0.0,0.0,0.0,0.0
30983,0.057,0.0,0.0,0.0,0.0
30984,0.056,0.0,0.0,0.0,0.0
30985,0.056,0.0,0.0,0.0,0.0
30986,0.056,0.0,0.0,0.0,0.0
30987,0.055,0.0,0.0,0.0,0.0
30988,0.055,0.0,0.0,0.0,0.0
30989,0.054,0.0,0.0,0.0,0.0
30990,0.054,0.0,0.0,0.0,0.0
30991,0.053,0.0,0.0,0.0,0.0
30992,0.053,0.0,0.0,0.0,0.0
30993,0.052,0.0,0.0,0.0,0.0
30994,0.052,0.0,0.0,0.0,0.0
30995,0.051,0.0,0.0,0.0,0.0
30996,0.051,0.0,0.0,0.0,0.0
30997,0.05,0.0,0.0,0.0,0.0
30998,0.05,0.0,0.0,0.0,0.0
30999,0.049,0.0,0.0,0.0,0.0
301000,0.049,0.0,0.0,0.0,0.0
301001,0.049,0.0,0.0,0.0,0.0
301002,0.048,0.0,0.0,0.0,0.0
301003,0.048,0.0,0.0,0.0,0.0
301004,0.047,0.0,0.0,0.0,0.0
301005,0.047,0.0,0.0,0.0,0.0
301006,0.046,0.0,0.0,0.0,0.0
301007,0.046,0.0,0.0,0.0,0.0
301008,0.046,0.0,0.0,0.0,0.0
301009,0.045,0.0,0.0,0.0,0.0
301010,0.045,0.0,0.0,0.0,0.0
301011,0.045,0.0,0.0,0.0,0.0
301012,0.044,0.0,0.0,0.0,0.0
301013,0.044,0.0,0.0,0.0,0.0
301014,0.044,0.0,0.0,0.0,0.0
301015,0.044,0.0,0.0,0.0,0.0
301016,0.044,0.0,0.0,0.0,0.0
301017,0.044,0.0,0.0,0.0,0.0
301018,0.044,0.0,0.0,0.0,0.0
301019,0.044,0.0,0.0,0.0,0.0
301020,0.045,0.0,0.0,0.0,0.0
301021,0.045,0.0,0.0,0.0,0.0
301022,0.045,0.0,0.0,0.0,0.0
301023,0.046,0.0,0.0,0.0,0.0
301024,0.046,0.0,0.0,0.0,0.0
301025,0.047,0.0,0.0,0.0,0.0
301026,0.047,0.0,0.0,0.0,0.0
301027,0.048,0.0,0.0,0.0,0.0
301028,0.049,0.0,0.0,0.0,0.0
301029,0.049,0.0,0.0,0.0,0.0
301030,0.05,0.0,0.0,0.0,0.0
301031,0.051,0.0,0.0,0.0,0.0
301032,0.052,0.0,0.0,0.0,0.0
301033,0.052,0.0,0.0,0.0,0.0
301034,0.053,0.0,0.0,0.0,0.0
301035,0.054,0.0,0.0,0.0,0.0
301036,0.054,0.0,0.0,0.0,0.0
301037,0.055,0.0,0.0,0.0,0.0
301038,0.056,0.0,0.0,0.0,0.0
301039,0.056,0.0,0.0,0.0,0.0
301040,0.057,0.0,0.0,0.0,0.0
301041,0.058,0.0,0.0,0.0,0.0
301042,0.059,0.0,0.0,0.0,0.0
301043,0.059,0.0,0.0,0.0,0.0
301044,0.06,0.0,0.0,0.0,0.0
301045,0.06,0.0,0.0,0.0,0.0
301046,0.061,0.0,0.0,0.0,0.0
301047,0.061,0.0,0.0,0.0,0.0
