index,temp_key,chem_key,country_key,iso_code,population,gdp,co2 without land_use,co2
875,30875,20875,104,ALB,1066333.0,,0.297,2.898
876,30876,20876,104,ALB,1077319.0,,0.348,2.9859999999999998
877,30877,20877,104,ALB,1088816.0,,0.432,3.07
878,30878,20878,104,ALB,1100833.0,,0.692,3.88
879,30879,20879,104,ALB,1113381.0,,0.626,4.07
880,30880,20880,104,ALB,1126469.0,,0.744,4.335
881,30881,20881,104,ALB,1140109.0,,0.462,4.236
882,30882,20882,104,ALB,1153914.0,,0.154,3.965
883,30883,20883,104,ALB,1167887.0,,0.121,4.077999999999999
884,30884,20884,104,ALB,1182028.0,,0.484,4.551
885,30885,20885,104,ALB,1196341.0,,0.927,5.031000000000001
886,30886,20886,104,ALB,1210827.0,,0.703,4.88
887,30887,20887,104,ALB,1229519.0,,1.015,5.265
888,30888,20888,104,ALB,1252587.0,1958540928.0,0.297,5.133
889,30889,20889,104,ALB,1289175.0,2089362304.0,0.403,5.643000000000001
890,30890,20890,104,ALB,1326957.0,2138255872.0,0.374,6.383
891,30891,20891,104,ALB,1366747.0,2282159616.0,0.414,6.5329999999999995
892,30892,20892,104,ALB,1409011.0,2415072768.0,0.502,6.987
893,30893,20893,104,ALB,1453732.0,2620052736.0,0.663,7.478000000000001
894,30894,20894,104,ALB,1500625.0,2728373248.0,0.839,7.946999999999999
895,30895,20895,104,ALB,1549575.0,2986969600.0,1.506,8.981
896,30896,20896,104,ALB,1600986.0,3216275456.0,1.201,8.932
897,30897,20897,104,ALB,1655022.0,3458495232.0,1.443,9.394
898,30898,20898,104,ALB,1711189.0,3754262784.0,2.022,9.057
899,30899,20899,104,ALB,1769076.0,3909912832.0,2.279,8.251000000000001
900,30900,20900,104,ALB,1828234.0,4163081984.0,2.462,8.068
901,30901,20901,104,ALB,1888302.0,4433270272.0,2.081,7.064
902,30902,20902,104,ALB,1949020.0,4719963648.0,2.015,7.804
903,30903,20903,104,ALB,2009793.0,5029350912.0,2.172,8.108
904,30904,20904,104,ALB,2070694.0,5354307584.0,2.55,8.411999999999999
905,30905,20905,104,ALB,2132447.0,5706156544.0,2.677,8.1
906,30906,20906,104,ALB,2195474.0,6073281536.0,3.069,8.455
907,30907,20907,104,ALB,2259797.0,6468810240.0,3.241,8.59
908,30908,20908,104,ALB,2324733.0,6888218624.0,3.739,8.575
909,30909,20909,104,ALB,2389820.0,7337364480.0,4.348,8.965
910,30910,20910,104,ALB,2455181.0,7811524608.0,5.638,9.815
911,30911,20911,104,ALB,2520442.0,8317288448.0,5.286,9.315999999999999
912,30912,20912,104,ALB,2585457.0,8539399680.0,4.342,7.75
913,30913,20913,104,ALB,2650128.0,8761643008.0,4.591,8.621
914,30914,20914,104,ALB,2713564.0,8996929536.0,4.947,9.857
915,30915,20915,104,ALB,2774798.0,9235805184.0,5.717,9.821
916,30916,20916,104,ALB,2833317.0,9474237440.0,6.491,9.862
917,30917,20917,104,ALB,2888764.0,9727295488.0,7.584,10.844999999999999
918,30918,20918,104,ALB,2941650.0,9993752576.0,5.171,8.139
919,30919,20919,104,ALB,2992391.0,10248711168.0,7.34,10.088000000000001
920,30920,20920,104,ALB,3041188.0,10517106688.0,7.308,9.725999999999999
921,30921,20921,104,ALB,3087904.0,10795983872.0,7.631,10.159
922,30922,20922,104,ALB,3131731.0,11080088576.0,7.826,10.024
923,30923,20923,104,ALB,3171727.0,11371456512.0,7.882,9.969999999999999
924,30924,20924,104,ALB,3207129.0,11669744640.0,8.058,10.0
925,30925,20925,104,ALB,3237677.0,11975300096.0,7.447,9.572
926,30926,20926,104,ALB,3263019.0,12296424448.0,7.329,9.051
927,30927,20927,104,ALB,3282187.0,12617018368.0,8.986,10.891
928,30928,20928,104,ALB,3295073.0,12947849216.0,5.521,7.279999999999999
929,30929,20929,104,ALB,3302087.0,9375844352.0,4.29,5.426
930,30930,20930,104,ALB,3303738.0,8745680896.0,2.517,3.543
931,30931,20931,104,ALB,3300715.0,9636359168.0,2.338,2.924
932,30932,20932,104,ALB,3294001.0,10596127744.0,1.924,2.474
933,30933,20933,104,ALB,3284370.0,11600734208.0,2.089,2.382
934,30934,20934,104,ALB,3271336.0,12727380992.0,2.018,2.0549999999999997
935,30935,20935,104,ALB,3253721.0,11396507648.0,1.543,1.543
936,30936,20936,104,ALB,3232185.0,12466707456.0,1.755,1.7919999999999998
937,30937,20937,104,ALB,3208265.0,14151858176.0,2.986,2.693
938,30938,20938,104,ALB,3182027.0,15214264320.0,3.025,2.7319999999999998
939,30939,20939,104,ALB,3153615.0,16563844096.0,3.221,2.965
940,30940,20940,104,ALB,3123554.0,17408065536.0,3.748,3.345
941,30941,20941,104,ALB,3092993.0,18465497088.0,4.303,4.34
942,30942,20942,104,ALB,3062629.0,19587880960.0,4.177,3.481
943,30943,20943,104,ALB,3032636.0,20781076480.0,4.261,6.679
944,30944,20944,104,ALB,3003391.0,22124285952.0,3.911,4.241
945,30945,20945,104,ALB,2976089.0,23574646784.0,3.949,6.77
946,30946,20946,104,ALB,2951690.0,25476937728.0,4.397,6.522
947,30947,20947,104,ALB,2930553.0,26471389184.0,4.407,5.579
948,30948,20948,104,ALB,2913402.0,27598268416.0,4.784,5.444
949,30949,20949,104,ALB,2900660.0,28452651008.0,5.315,6.231000000000001
950,30950,20950,104,ALB,2892191.0,28855377920.0,4.85,5.693
951,30951,20951,104,ALB,2887019.0,29142642688.0,5.287,5.837
952,30952,20952,104,ALB,2884100.0,29675640832.0,6.0,6.696
953,30953,20953,104,ALB,2882482.0,30444531712.0,4.712,5.8839999999999995
954,30954,20954,104,ALB,2881064.0,31481821184.0,4.632,5.145
955,30955,20955,104,ALB,2879361.0,32678760448.0,5.564,6.04
956,30956,20956,104,ALB,2877019.0,34009112576.0,4.984,5.314
957,30957,20957,104,ALB,2873883.0,,4.947,5.167
958,30958,20958,104,ALB,2866850.0,,4.729,4.8020000000000005
959,30959,20959,104,ALB,2854710.0,,4.619,4.582
1026,301026,201026,105,DZA,5708027.0,,0.004,4.436999999999999
1027,301027,201027,105,DZA,5737558.0,,0.007,4.404
1028,301028,201028,105,DZA,5766569.0,,0.018,4.415
1029,301029,201029,105,DZA,5802743.0,,0.018,4.415
1030,301030,201030,105,DZA,5846192.0,,0.022,4.492
1031,301031,201031,105,DZA,5897033.0,,0.026,4.569
1032,301032,201032,105,DZA,5955381.0,,0.026,4.643
1033,301033,201033,105,DZA,6021355.0,,0.015,4.705
1034,301034,201034,105,DZA,6088060.0,,0.029,4.792
1035,301035,201035,105,DZA,6155505.0,,0.033,4.869000000000001
1036,301036,201036,105,DZA,6223696.0,,0.04,4.95
1037,301037,201037,105,DZA,6292643.0,,0.059,5.042
1038,301038,201038,105,DZA,6362353.0,,0.073,5.1290000000000004
1039,301039,201039,105,DZA,6441431.0,,0.08,5.21
1040,301040,201040,105,DZA,6530132.0,,0.084,5.324
