country,iso_code,population,gdp,co2 without land_use,co2
Democratic Republic of Congo,COD,21564182.308139537,30787662536.347828,1.9158039215686276,142.2282690378477
Denmark,DNK,3608076.38547486,66406675954.90909,22.989296089385473,29.988621670780823
Djibouti,DJI,228146.31976744186,1123864069.5652175,0.2672222222222222,0.29318733850129197
Dominica,DMA,46940.75,279007954.7826087,0.07029577464788732,0.07586554208974779
Dominican Republic,DOM,3182501.180232558,41348165769.27536,10.348653333333333,18.946496356589147
East Timor,TLS,508112.2732558139,,0.46395,2.950740697674419
Ecuador,ECU,5011515.104651162,39947770405.86667,11.90147619047619,35.68125526024363
Egypt,EGY,29565668.06395349,311001488398.42255,60.06965765765766,62.13808207626231
El Salvador,SLV,2543683.918604651,16253540873.050505,3.3326944444444444,7.030758397932816
Equatorial Guinea,GNQ,324101.1046511628,6971729564.289855,2.0456666666666665,3.6591085271317825
Eritrea,ERI,1199710.6453488371,,0.5227777777777778,1.6692138242894057
Estonia,EST,1053148.6590909092,26085488230.4,9.649729411764705,10.286857318741449
Eswatini,SWZ,382070.8546511628,3152583362.5507245,0.5998857142857142,2.003286877076412
Ethiopia,ETH,32096657.691860463,50138752029.68116,3.6447012987012988,61.012055949864084
Falkland Islands,FLK,2594.268292682927,,,
Faroe Islands,FRO,39218.670731707316,,0.4353611111111111,0.5917215762273902
Fiji,FJI,378737.99418604653,,0.690861111111111,1.1114483204134367
Finland,FIN,3583515.5406976743,54916651139.2,19.913746913580248,38.18836900660351
France,FRA,43134204.18224299,596214858633.6482,182.73721028037383,155.40354167572266
French Guiana,GUF,94458.79347826086,,0.10363970588235294,0.3954827291381669
French Polynesia,PYF,177209.4025974026,,0.4583731343283582,
Gabon,GAB,646574.5523255814,10241397409.391304,4.353603174603174,17.295806662975266
Gambia,GMB,559582.8372093023,1417151482.2028985,0.2077361111111111,0.8925907622739019
Georgia,GEO,3136737.409090909,44460325888.0,3.9506470588235296,1.7479610123119014
Germany,DEU,55656182.981981985,957951255949.553,405.6108956521739,398.8936049544995
Ghana,GHA,8188428.546511628,33598246226.929577,5.5288055555555555,28.59051485788114
Greece,GRC,7001743.436046512,69050541295.33728,29.309822695035464,39.58711339270988
Greenland,GRL,43675.365853658535,,0.46598611111111116,0.46598611111111116
Grenada,GRD,76258.46511627907,,0.11905555555555554,0.11298578811369507
Guadeloupe,GLP,306365.27173913043,,0.31684926470588237,0.41229112517099864
Guatemala,GTM,4648080.226744186,36308330490.828285,5.7043333333333335,26.722519379844965
Guernsey,GGY,54741.88888888889,,,
Guinea,GIN,3081580.731277533,6006108028.289855,0.3416470588235294,28.128571477428178
Guinea-Bissau,GNB,610215.8430232558,1187899243.594203,0.14577777777777778,2.0998184754521962
Guyana,GUY,447850.6569767442,,1.4569722222222223,7.292332687338502
Haiti,HTI,3863124.8895348837,10092160857.945946,1.091013888888889,6.430461563307493
Honduras,HND,2488330.511627907,11681313749.333334,3.778194444444444,22.247107235142117
Hong Kong,HKG,2493521.593023256,132738028763.04225,21.18024358974359,21.262755217650568
Hungary,HUN,8076683.905263158,91018036965.87755,26.765396825396824,30.57362356958287
Iceland,ISL,130845.7665198238,6509954129.623188,0.5710294117647059,1.5379422024623803
